X,Y,insee,nom,wikipedia,surf_ha,icon_url,Effectifs avec Micro_Zone emploi,Effectifs avec Micro_Agroalimentaire,"Effectifs avec Micro_Bijouterie, joaillerie",Effectifs avec Micro_Bois,Effectifs avec Micro_Chimie,"Effectifs avec Micro_Conseil, ingénierie, recherche",Effectifs avec Micro_Construction/BTP/Génie urbain/Architecture,Effectifs avec Micro_Eau et déchets,Effectifs avec Micro_Electrique/Electronique (dont optique),Effectifs avec Micro_Emballage,Effectifs avec Micro_Energie,"Effectifs avec Micro_Management, conseil, finances",Effectifs avec Micro_Mécanique-Métallurgie,Effectifs avec Micro_Meubles,"Effectifs avec Micro_Numérique, TIC, audiovisuel",Effectifs avec Micro_Papier-carton,Effectifs avec Micro_Plasturgie,"Effectifs avec Micro_Santé (dont pharmacie, technologies médicales, R&D en biotech)",Effectifs avec Micro_Sous-traitance industrielle,Effectifs avec Micro_Sous-traitance industrielle (coeur de l'activité),Effectifs avec Micro_Sport / Loisirs,Effectifs avec Micro_Textile-habillement-cuir chaussures,Effectifs avec Micro_Tourisme,Effectifs avec Micro_Transport de marchandises/Logistique,Effectifs avec Micro_(vide)
4.431479769003,45.6113579787242,"42216",Saint-Denis-sur-Coise,fr:Saint-Denis-sur-Coise,1071.000000000000000,./0.png,Saint Etienne,"0",,,,"1","32",,,,"0","0","12",,"6",,,,,,,,"3","0","4"
4.51439747052814,45.6080265573279,"69110",Larajasse,fr:Larajasse,3353.000000000000000,./0.png,Saint Etienne,"3",,,,"3","41",,,,"0","0","1","0","0",,,,,,,,"4","2","24"
4.57266637334864,45.6029671955845,"69184",Sainte-Catherine,fr:Sainte-Catherine (Rhône),1370.000000000000000,./0.png,Lyon,"4",,,,,"7",,,,,"0","3","0","0",,,,,,,,"0","0","7"
4.75788640097162,45.5813138092253,"69091",Givors,fr:Givors,1748.000000000000000,./0.png,Lyon,"35","0",,"0","27","404","77","3",,"31","99","122","0","17",,"1",,"22",,"87","0","240","584","1533"
4.70344285954928,45.5918216556599,"69179",Beauvallon,fr:Beauvallon (Rhône),2459.000000000000000,./0.png,Lyon,"2",,"4",,"1","47","0","0",,"0","0","4","3","8",,"28",,,,"5","1","12","76","99"
4.83845060596181,45.5981308122719,"69272",Communay,fr:Communay,1049.000000000000000,./0.png,Lyon,"5",,,,"10","70","14",,,"0","3","0",,"0",,,,"34",,"0","0","16","338","118"
3.84272262327397,46.2386109790121,"42194",Sail-les-Bains,fr:Sail-les-Bains,2151.000000000000000,./0.png,Roanne,"1",,,,,,,,,"0",,,,,,,,,,,,"0","0","0"
3.83826011056386,46.1735470250554,"42078",Le Crozet,fr:Le Crozet,1340.000000000000000,./0.png,Roanne,,,,,,,,,,,,,,"1",,,,,,,,"4","0","0"
3.84355448194059,45.9234631034998,"42248",Saint-Just-en-Chevalet,fr:Saint-Just-en-Chevalet,2921.000000000000000,./0.png,Le Livradois,"36",,"0",,"0","68","0","16",,"0","2","10","1","0",,,,,,"0","24","9","27","1683"
3.82791853532455,46.1301833955993,"42203",Saint-Bonnet-des-Quarts,fr:Saint-Bonnet-des-Quarts,3282.000000000000000,./0.png,Roanne,,,,,,"5",,,,"0",,,,,,,,,,"5",,"1","0","0"
3.83779113290686,46.070676212841,"42281",Saint-Rirand,fr:Saint-Rirand,1644.000000000000000,./0.png,Roanne,,,"0",,,,,,,,,,,,,,,,,,,"0",,"0"
3.83607341549373,46.0349774922916,"42158",Les Noës,fr:Les Noës,1567.000000000000000,./0.png,Roanne,"0",,"0",,,"0",,,,"0",,"2",,,,,,,,"0",,"0",,"0"
4.58886538331609,45.5981979834655,"69166",Riverie,fr:Riverie,40.000000000000000,./0.png,Lyon,,,,,"0","1",,,,,,,,,,,,,,,,"3",,"2"
3.74202522313043,45.9462236361849,"42276",Saint-Priest-la-Prugne,fr:Saint-Priest-la-Prugne,3721.000000000000000,./0.png,Roanne,,,"61",,,"39",,,,"0",,,,,,,,,,,"2","1","7","0"
3.81802316667804,45.8855602483661,"42282",Saint-Romain-d'Urfé,fr:Saint-Romain-d'Urfé,1518.000000000000000,./0.png,Le Livradois,,,,,"0","19",,,,,,,,,,,,,,,,,"3","1"
3.81300662873945,45.9588382487036,"42314",La Tuilière,fr:La Tuilière,3176.000000000000000,./0.png,Roanne,"2",,"1",,,"7","0",,,"0",,,,,,,,,,,,,,"0"
4.09091054571165,46.0173943271318,"42071",Le Coteau,fr:Le Coteau,489.000000000000000,./0.png,Roanne,"357","0",,"15","2","404","16",,"41","79","35","268","202","46","35",,"3","16",,"1","170","36","233","527"
4.11613804927054,46.0086276270022,"42294",Saint-Vincent-de-Boisset,fr:Saint-Vincent-de-Boisset,413.000000000000000,./0.png,Roanne,"0","0",,,"0","8","0",,,,"0","1","0","0",,,,"13",,,,,"3","39"
4.10336332632514,46.1826032656455,"42273",Saint-Pierre-la-Noaille,fr:Saint-Pierre-la-Noaille,741.000000000000000,./0.png,Roanne,,,,,"0","0",,,,,,,"0",,,,,,,,,"0","4","1"
4.10699172598525,45.9200176799581,"42277",Saint-Priest-la-Roche,fr:Saint-Priest-la-Roche,1359.000000000000000,./0.png,Roanne,,,,,,"2","5",,,,,,,,,,,,,,,"6","0","0"
